                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5255,                 2.9491,                0.21738,                 1.1762,                 1.3642,                0.52139,                0.74707,                  0.568,                0.25377,                0.27326,                 0.4384,                0.24179,                0.12849,                  2.001,                 4.1947,                0.12777,                 1.3705,                 1.8572,             0.00021798,             0.00021798,             0.00021798
                     37,                 1.5192,                 2.9384,                0.21326,                 1.1766,                 1.3688,                0.49248,                0.73287,                0.53647,                0.24011,                0.24937,                0.42768,                0.23245,                0.11919,                 1.9986,                 4.2351,                0.13043,                 1.3991,                 1.8466,             0.00020477,             0.00020477,             0.00020477
                     38,                 1.5001,                 2.8686,                0.20967,                 1.1394,                 1.3538,                0.48662,                0.75966,                0.54169,                0.24356,                0.24348,                0.44383,                0.22895,                0.12208,                 2.0226,                 4.2599,                0.12789,                 1.3917,                  1.891,             0.00019156,             0.00019156,             0.00019156
                     39,                 1.4872,                 2.7962,                0.20713,                 1.1427,                 1.3485,                0.49149,                0.71472,                0.53751,                0.24314,                0.25596,                0.42818,                 0.2316,                0.12447,                 2.0285,                 4.2701,                0.12497,                 1.4017,                 1.8906,             0.00017836,             0.00017836,             0.00017836
                     40,                 1.4846,                 2.8257,                0.21337,                 1.1393,                 1.3505,                0.51517,                 0.7292,                 0.5596,                0.25819,                0.26551,                0.42466,                0.23956,                0.12782,                 2.0005,                 4.2888,                 0.1236,                 1.3715,                  1.866,             0.00016515,             0.00016515,             0.00016515
                     41,                 1.4772,                 2.8102,                0.13714,                 1.1537,                  1.431,                0.51663,                0.70182,                0.54641,                0.25013,                 0.2455,                0.40867,                0.22513,                0.12238,                 2.0181,                 4.3651,                0.11321,                 1.3651,                 1.8984,             0.00015194,             0.00015194,             0.00015194
                     42,                 1.4589,                 2.6944,                0.13107,                 1.1177,                  1.425,                0.54916,                0.73214,                0.60467,                0.26611,                0.28131,                0.40537,                0.26322,                0.13973,                 2.0144,                 4.2126,                0.11275,                 1.3284,                 1.8839,             0.00013874,             0.00013874,             0.00013874
                     43,                 1.4376,                 2.6876,                0.13199,                  1.097,                 1.3978,                0.52493,                0.71714,                0.58208,                0.26138,                0.27118,                0.42607,                0.25633,                0.13759,                  1.998,                 4.2812,                0.11144,                 1.3307,                 1.8792,             0.00012553,             0.00012553,             0.00012553
                     44,                  1.422,                 2.6394,                0.13494,                  1.087,                 1.3955,                0.54848,                0.72167,                0.61126,                0.27115,                0.28629,                0.44284,                0.27461,                 0.1416,                 2.0164,                 4.2644,                0.10782,                   1.31,                 1.9048,             0.00011232,             0.00011232,             0.00011232
                     45,                 1.4076,                 2.6042,                 0.1319,                  1.063,                 1.3734,                 0.5313,                 0.7371,                0.58604,                0.25475,                0.25989,                 0.4338,                0.24833,                0.13558,                 2.0419,                   4.31,                0.10665,                 1.3203,                 1.9205,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                 1.4093,                 2.5579,                0.12714,                 1.0533,                 1.3954,                0.55877,                0.69931,                0.61581,                  0.272,                0.26778,                0.41636,                0.25628,                0.13573,                 2.0378,                 4.3007,                0.10718,                 1.2814,                 1.9099,              8.591e-05,              8.591e-05,              8.591e-05
                     47,                 1.3933,                 2.5344,                0.13092,                 1.0414,                 1.3811,                0.58263,                0.64062,                0.60341,                0.26718,                0.30088,                0.35721,                0.26506,                0.14115,                 2.0444,                 4.2845,                0.10513,                 1.2968,                 1.9218,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     48,                  1.378,                  2.486,                0.12617,                 1.0283,                 1.3648,                0.54579,                0.72677,                0.62106,                0.26713,                0.28277,                0.42243,                 0.2727,                0.14433,                 2.0425,                 4.2396,                 0.1064,                 1.2968,                 1.9271,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     49,                 1.3669,                 2.4797,                 0.1276,                 1.0231,                 1.3672,                0.59407,                0.65203,                0.61808,                0.26951,                 0.3101,                0.37164,                0.27527,                 0.1453,                  2.042,                 4.2776,                0.10588,                 1.2886,                 1.9342,              4.629e-05,              4.629e-05,              4.629e-05
                     50,                  1.364,                 2.4641,                 0.1269,                 1.0186,                 1.3754,                0.56749,                 0.6969,                0.62866,                0.27423,                0.29722,                0.41813,                0.29432,                0.15151,                 2.0493,                 4.2496,                  0.106,                 1.2799,                 1.9522,             3.3083e-05,             3.3083e-05,             3.3083e-05
